sequence_id,class_label,length,base_nll,patched_nll,delta_nll,relative_nll_degradation_pct,mean_kl,top1_agreement,nmse,explained_variance,diagnostic,interpolation_alpha
135,1,272,2.427804066051136,2.7032284268465907,0.2754243607954545,11.344587672737399,0.3751387894153595,0.30434784293174744,0.019598158076405525,0.9824739098548889,reconstruction,0.5
136,1,267,2.364114945023148,2.674212420428241,0.3100974754050929,13.116852717246227,0.4619922637939453,0.3505535125732422,0.01932540163397789,0.9828365445137024,reconstruction,0.5
137,1,258,2.3986063405471745,2.697329232519157,0.29872289197198265,12.454019107772284,0.32563135027885437,0.347328245639801,0.019395219162106514,0.982841432094574,reconstruction,0.5
138,1,302,2.3146358302382173,2.672322457735656,0.3576866274974386,15.45325717439647,0.2919944226741791,0.36274510622024536,0.020345821976661682,0.9819039702415466,reconstruction,0.5
139,1,254,2.426315604480788,2.77498356563108,0.3486679611502921,14.370264136553013,0.43003174662590027,0.3294573724269867,0.018995027989149094,0.9831491708755493,reconstruction,0.5
140,1,253,2.105435609817505,2.585577964782715,0.48014235496520996,22.804893805649453,0.3991105556488037,0.3968871533870697,0.018834367394447327,0.9831608533859253,reconstruction,0.5
141,1,246,2.4100331992030624,2.6871676157756026,0.27713441657254023,11.499194976408692,0.24161943793296814,0.4480000138282776,0.0188423041254282,0.9833459258079529,reconstruction,0.5
142,1,261,2.5511784409031724,2.7773123076467803,0.22613386674360791,8.863898468174245,0.26118147373199463,0.43396228551864624,0.019175557419657707,0.9828751683235168,reconstruction,0.5
143,1,307,2.383035376764113,2.7943296370967743,0.4112942603326615,17.259259528540934,0.42486894130706787,0.43086814880371094,0.01957491599023342,0.9824660420417786,reconstruction,0.5
144,1,272,2.227162198153409,2.6833762428977272,0.45621404474431815,20.48409608974935,0.37656325101852417,0.39855071902275085,0.019736533984541893,0.9824292659759521,reconstruction,0.5
145,1,316,2.4751252081700628,2.728564032192888,0.25343882402282514,10.239434481385302,0.2918759286403656,0.44062501192092896,0.020036030560731888,0.981955885887146,reconstruction,0.5
146,1,273,2.390546494635983,2.6871251645295517,0.29657866989356885,12.406312554850766,0.35629943013191223,0.3826714754104614,0.019473599269986153,0.9826581478118896,reconstruction,0.5
147,1,283,2.4189978112707604,2.7061199908489946,0.28712217957823416,11.869468349266578,0.27781757712364197,0.4181184768676758,0.020005913451313972,0.9822024703025818,reconstruction,0.5
148,1,319,2.5771579150087343,2.7969331919036295,0.2197752768948953,8.527815684672564,0.22492314875125885,0.4458204209804535,0.019659698009490967,0.9822410941123962,reconstruction,0.5
149,1,281,2.696625185684419,2.9316496513259245,0.23502446564150548,8.715503618714994,0.2061379998922348,0.30877193808555603,0.01937640644609928,0.9828492403030396,reconstruction,0.5
150,1,271,2.130216278298928,2.5904291528854926,0.4602128745865648,21.60404458809531,0.47304582595825195,0.3927272856235504,0.019672460854053497,0.9826120734214783,reconstruction,0.5
151,1,271,2.0957917819057936,2.58563989792427,0.48984811601847644,23.37293810614318,0.4749894142150879,0.38545453548431396,0.019616806879639626,0.9825339317321777,reconstruction,0.5
152,1,282,2.5519539816337717,2.8142415364583333,0.26228755482456156,10.2779108366462,0.31178852915763855,0.4160839021205902,0.019709160551428795,0.9823760986328125,reconstruction,0.5
153,1,304,2.4009743358102607,2.7061039927728014,0.3051296569625408,12.708576364668563,0.36801978945732117,0.41558441519737244,0.01933017186820507,0.982964277267456,reconstruction,0.5
154,1,303,2.3200753405203227,2.65983651354422,0.3397611730238972,14.644402579948073,0.2787088453769684,0.371335506439209,0.02037004940211773,0.981897234916687,reconstruction,0.5
155,1,271,2.160906269602532,2.586900251625228,0.4259939820226961,19.713672361228866,0.44793370366096497,0.3927272856235504,0.01961611397564411,0.9825716018676758,reconstruction,0.5
156,1,264,2.0545521711142323,2.615729514132725,0.5611773430184925,27.313852181916257,0.5358694195747375,0.38432833552360535,0.01922990195453167,0.9827806353569031,reconstruction,0.5
157,1,283,2.2767033076786496,2.6769863742214817,0.4002830665428321,17.581696534317633,0.4204513430595398,0.4250871241092682,0.019755754619836807,0.9823538661003113,reconstruction,0.5
