latent_id,annotation,rank,n_positive,n_negative,activation_prevalence,mean_activation_positive,mean_activation_negative,point_biserial_r,point_biserial_p,auroc,fisher_odds_ratio,fisher_p,q_value,activation_threshold,fire_count_positive,fire_count_negative,any_active_positive,any_active_negative
64,has_ps00135,389,10760,27558,0.5863562816430921,0.2674734890460968,0.7177532315254211,-0.2843204443237983,0.0,0.3442080724101732,0.274942755612728,1.0,1.0,0.0,0.49944236874580383,2.5010523796081543,0.36226765799256505,0.6738515131722186
65,has_ps00135,395,10760,27558,0.8037475859909181,1.5613337755203247,1.3936569690704346,-0.05137011310039149,8.13235797007358e-24,0.4773002684975871,0.7570905271084356,1.0,1.0,0.0,1.208085536956787,1.1791131496429443,0.7710966542750929,0.8164961172799187
69,has_ps00135,419,10760,27558,0.07876193955843207,0.005235660821199417,0.18888117372989655,-0.16912464881305234,8.462256491559894e-244,0.4493133137787664,0.04903533368860476,1.0,1.0,0.0,0.006412639282643795,1.164779782295227,0.005855018587360595,0.107228391029828
71,has_ps00135,431,10760,27558,0.10031838822485516,0.0339384451508522,0.19133137166500092,-0.12418190966410514,1.6166649605972712e-131,0.45849161052957316,0.3000809969479786,1.0,1.0,0.0,0.044516727328300476,0.6858988404273987,0.04061338289962825,0.1236301618404819
72,has_ps00135,437,10760,27558,0.04131217704473093,0.005003056023269892,0.09256820380687714,-0.10753560516409746,6.352245000365148e-99,0.47618926597799405,0.12296764605558436,1.0,1.0,0.0,0.0071561336517333984,0.3724871277809143,0.007063197026022305,0.05468466507003411
73,has_ps00135,443,10760,27558,1.0,4.575611114501953,5.144779682159424,,,0.5,,1.0,1.0,0.0,5.105111598968506,6.2541184425354,1.0,1.0
75,has_ps00135,455,10760,27558,0.37997807818779683,0.025897182524204254,0.7103469967842102,-0.44023401797179706,0.0,0.2622561749453872,0.03743565858506347,1.0,1.0,0.0,0.05622676759958267,10.329014778137207,0.03801115241635688,0.5134988025255824
76,has_ps00135,461,10760,27558,0.7726394905788402,0.5205074548721313,0.8695926070213318,-0.12755440247866878,1.0461738955078614e-138,0.44051817646647784,0.5283455850691253,1.0,1.0,0.0,1.3678438663482666,2.8069162368774414,0.687081784386617,0.8060454314536614
77,has_ps00135,467,10760,27558,0.9213946448144475,4.750113487243652,5.8183698654174805,-0.29761194917034917,0.0,0.41088678194364514,0.112767421060606,1.0,1.0,0.0,0.7942379117012024,0.9725306630134583,0.7932156133828996,0.9714420494956093
78,has_ps00135,473,10760,27558,0.13894253353515318,0.009622341021895409,0.344695121049881,-0.2298511392931672,0.0,0.41154483642610074,0.05096938732312879,1.0,1.0,0.0,0.012546468526124954,2.7179040908813477,0.01171003717472119,0.18862036432251977
79,has_ps00135,479,10760,27558,0.45506028498355866,0.23433034121990204,0.5375945568084717,-0.10127575084416325,6.674324364427907e-88,0.4438878353488189,0.6313565790431636,1.0,1.0,0.0,0.4960037171840668,1.2750924825668335,0.37434944237918216,0.48657377168154436
